Processes,Size,Latency
48,4,1.20
48,8,1.19
48,16,1.19
48,32,1.27
48,64,1.52
48,128,1.54
48,256,1.78
48,512,2.00
48,1024,2.63
48,2048,3.49
48,4096,5.88
48,8192,10.12
48,16384,17.26
48,32768,31.17
48,65536,59.61
48,131072,116.55
48,262144,388.08
48,524288,761.11
48,1048576,1570.18
